Регион,Округ,Год,Наименование,№ строки," Количество органов самоуправления, ед", Число членов органов при ОИВ, Число членов органов при ОПВ, Число членов ИК, Объем финанс-я ОМСУ, Число членов УССУ, Число уч-в мер-й УССУ, Объем финансирования УССУ
Севастополь,ЮФО,2021,Студенческое самоуправление,54,  4 ,,,,,  259 ,  12 000 ,  -   
Смоленская область,ЦФО,2021,Региональный уровень,51,,  24 ,  48 ,  20 ,  -   ,,,
Смоленская область,ЦФО,2021,Муниципальный уровень,52,  28 ,  366 ,  -   ,  -   ,  33 500 ,,,
Смоленская область,ЦФО,2021,Ученическое самоуправление,53,  279 ,,,,,  7 077 ,  27 876 ,
Смоленская область,ЦФО,2021,Студенческое самоуправление,54,  12 ,,,,,  737 ,  3 385 ,  -   
Ставропольский край,СКФО,2021,Региональный уровень,51,  2 ,  22 ,  36 ,  14 ,  12 000 ,,,
Ставропольский край,СКФО,2021,Муниципальный уровень,52,  98 ,  344 ,  136 ,  24 ,  512 600 ,,,
Ставропольский край,СКФО,2021,Ученическое самоуправление,53,  688 ,,,,,  39 014 ,  71 500 ,
Ставропольский край,СКФО,2021,Студенческое самоуправление,54,  20 ,,,,,  31 862 ,  91 450 ,  124 600 
Тамбовская область,ЦФО,2021,Региональный уровень,51,  3 ,  35 ,  50 ,  15 ,  -   ,,,
Тамбовская область,ЦФО,2021,Муниципальный уровень,52,  26 ,  350 ,  115 ,  52 ,  29 300 ,,,
Тамбовская область,ЦФО,2021,Ученическое самоуправление,53,  437 ,,,,,  8 932 ,  16 532 ,
Тамбовская область,ЦФО,2021,Студенческое самоуправление,54,  18 ,,,,,  1 170 ,  16 501 ,  600 000 
Республика Татарстан,ПФО,2021,Региональный уровень,51,  2 ,  41 ,  100 ,  -   ,  -   ,,,
Республика Татарстан,ПФО,2021,Муниципальный уровень,52,  104 ,  225 ,  1 274 ,  -   ,  650 000 ,,,
Республика Татарстан,ПФО,2021,Ученическое самоуправление,53,  766 ,,,,,  27 993 ,  87 376 ,
Республика Татарстан,ПФО,2021,Студенческое самоуправление,54,  710 ,,,,,  24 871 ,  89 702 ,  76 442 894 
Тверская область,ЦФО,2021,Региональный уровень,51,  3 ,  22 ,  48 ,  9 ,  50 000 ,,,
Тверская область,ЦФО,2021,Муниципальный уровень,52,  42 ,  705 ,  10 ,  12 ,  161 292 ,,,
Тверская область,ЦФО,2021,Ученическое самоуправление,53,  416 ,,,,,  15 080 ,  25 640 ,
Тверская область,ЦФО,2021,Студенческое самоуправление,54,  123 ,,,,,  15 440 ,  27 500 ,  47 500 000 
Томская область,СФО,2021,Региональный уровень,51,  2 ,  15 ,  33 ,,,,,
Томская область,СФО,2021,Муниципальный уровень,52,  7 ,  63 ,  13 ,  1 ,,,,
Томская область,СФО,2021,Ученическое самоуправление,53,  36 ,,,,,  24 435 ,  11 814 ,
Томская область,СФО,2021,Студенческое самоуправление,54,  89 ,,,,,  4 093 ,  32 989 ,  5 710 553 
Тульская область,ЦФО,2021,Региональный уровень,51,  3 ,  13 ,  55 ,  14 ,  -   ,,,
Тульская область,ЦФО,2021,Муниципальный уровень,52,  10 ,  202 ,  -   ,  -   ,  564 350 ,,,
Тульская область,ЦФО,2021,Ученическое самоуправление,53,  841 ,,,,,  19 111 ,  34 442 ,
Тульская область,ЦФО,2021,Студенческое самоуправление,54,  59 ,,,,,  4 324 ,  18 246 ,  1 443 850 
Республика Тыва,СФО,2021,Региональный уровень,51,  1 ,  21 ,,,,,,
Республика Тыва,СФО,2021,Муниципальный уровень,52,  -   ,,,,,,,
Республика Тыва,СФО,2021,Ученическое самоуправление,53,  173 ,,,,,,,
Республика Тыва,СФО,2021,Студенческое самоуправление,54,  19 ,,,,,,,
Тюменская область,УФО,2021,Региональный уровень,51,  3 ,  15 ,  48 ,,,,,
Тюменская область,УФО,2021,Муниципальный уровень,52,  26 ,  105 ,  401 ,  6 ,,,,
Тюменская область,УФО,2021,Ученическое самоуправление,53,  897 ,,,,,  9 534 ,  66 694 ,
Тюменская область,УФО,2021,Студенческое самоуправление,54,  41 ,,,,,  1 066 ,  94 441 ,  -   
Удмуртская Республика,ПФО,2021,Региональный уровень,51,  2 ,  -   ,  60 ,  14 ,  -   ,,,
Удмуртская Республика,ПФО,2021,Муниципальный уровень,52,  40 ,  233 ,  286 ,  50 ,  379 716 ,,,
Удмуртская Республика,ПФО,2021,Ученическое самоуправление,53,  357 ,,,,,  21 071 ,  69 485 ,
Удмуртская Республика,ПФО,2021,Студенческое самоуправление,54,  61 ,,,,,  2 497 ,  22 997 ,  10 325 600 
Ульяновская область,ПФО,2021,Региональный уровень,51,  4 ,  31 ,  15 ,,,,,
Ульяновская область,ПФО,2021,Муниципальный уровень,52,  85 ,  970 ,  88 ,,,,,
Ульяновская область,ПФО,2021,Ученическое самоуправление,53,  79 ,,,,,  632 ,  1 896 ,
Ульяновская область,ПФО,2021,Студенческое самоуправление,54,  42 ,,,,,  588 ,  4 116 ,
Хабаровский край,ДФО,2021,Региональный уровень,51,  1 ,  26 ,  -   ,  -   ,  60 775 ,,,
Хабаровский край,ДФО,2021,Муниципальный уровень,52,  27 ,  299 ,  998 ,  7 ,  2 000 ,,,
Хабаровский край,ДФО,2021,Ученическое самоуправление,53,  256 ,,,,,  28 814 ,  40 389 ,
Хабаровский край,ДФО,2021,Студенческое самоуправление,54,  17 ,,,,,  7 053 ,  10 386 ,  119 097 
Республика Хакасия,СФО,2021,Региональный уровень,51,  3 ,  51 ,  28 ,  23 ,  -   ,,,
Республика Хакасия,СФО,2021,Муниципальный уровень,52,  14 ,  195 ,  104 ,  11 ,  -   ,,,
Республика Хакасия,СФО,2021,Ученическое самоуправление,53,  215 ,,,,,  70 120 ,  78 000 ,
Республика Хакасия,СФО,2021,Студенческое самоуправление,54,  17 ,,,,,  1 300 ,  18 200 ,  -   
Ханты-Мансийский автономный округ - Югра,УФО,2021,Региональный уровень,51,,  -   ,  -   ,  -   ,  -   ,,,
Ханты-Мансийский автономный округ - Югра,УФО,2021,Муниципальный уровень,52,  63 ,  581 ,  166 ,  131 ,  282 348 ,,,
Ханты-Мансийский автономный округ - Югра,УФО,2021,Ученическое самоуправление,53,  274 ,,,,,  31 595 ,  136 073 ,
Ханты-Мансийский автономный округ - Югра,УФО,2021,Студенческое самоуправление,54,  36 ,,,,,  2 959 ,  17 354 ,  100 000 
Челябинская область,УФО,2021,Региональный уровень,51,  2 ,  16 ,  40 ,,  5 700 000 ,,,
Челябинская область,УФО,2021,Муниципальный уровень,52,  23 ,  220 ,  218 ,  120 ,  566 600 ,,,
Челябинская область,УФО,2021,Ученическое самоуправление,53,  382 ,,,,,  19 879 ,  70 258 ,
Челябинская область,УФО,2021,Студенческое самоуправление,54,  54 ,,,,,  2 714 ,  28 493 ,
Чеченская Республика,СКФО,2021,Региональный уровень,51,  2 ,  21 ,  5 ,  -   ,  -   ,,,
Чеченская Республика,СКФО,2021,Муниципальный уровень,52,  4 ,  64 ,  50 ,  4 ,  25 000 ,,,
Чеченская Республика,СКФО,2021,Ученическое самоуправление,53,  178 ,,,,,  3 126 ,  46 340 ,
Чеченская Республика,СКФО,2021,Студенческое самоуправление,54,  21 ,,,,,  10 659 ,  11 316 ,  -   
Чувашская Республика,ПФО,2021,Региональный уровень,51,  3 ,  16 ,  23 ,  12 ,,,,
Чувашская Республика,ПФО,2021,Муниципальный уровень,52,  14 ,  310 ,  65 ,  122 ,  17 000 ,,,
Чувашская Республика,ПФО,2021,Ученическое самоуправление,53,  380 ,,,,,  3 797 ,  78 544 ,
Чувашская Республика,ПФО,2021,Студенческое самоуправление,54,  38 ,,,,,  4 245 ,  51 193 ,  16 770 000 
Чукотский автономный округ,ДФО,2021,Региональный уровень,51,  1 ,  5 ,  23 ,  -   ,  -   ,,,
Чукотский автономный округ,ДФО,2021,Муниципальный уровень,52,  1 ,  9 ,  -   ,  -   ,  -   ,,,
Чукотский автономный округ,ДФО,2021,Ученическое самоуправление,53,  32 ,,,,,  437 ,  1 517 ,
Чукотский автономный округ,ДФО,2021,Студенческое самоуправление,54,  4 ,,,,,  94 ,  249 ,  -   
Ямало-Ненецкий автономный округ,УФО,2021,Региональный уровень,51,  4 ,  55 ,  26 ,,  2 978 451 ,,,
Ямало-Ненецкий автономный округ,УФО,2021,Муниципальный уровень,52,  23 ,  327 ,,,,,,
Ямало-Ненецкий автономный округ,УФО,2021,Ученическое самоуправление,53,  106 ,,,,,  3 533 ,  46 203 ,
Ямало-Ненецкий автономный округ,УФО,2021,Студенческое самоуправление,54,  14 ,,,,,  609 ,  5 334 ,
Ярославская область,ЦФО,2021,Региональный уровень,51,  2 ,,  61 ,  14 ,,,,
Ярославская область,ЦФО,2021,Муниципальный уровень,52,  1 ,  123 ,  20 ,  22 ,,,,
Ярославская область,ЦФО,2021,Ученическое самоуправление,53,  524 ,,,,,  48 560 ,  59 744 ,
Ярославская область,ЦФО,2021,Студенческое самоуправление,54,  104 ,,,,,  31 218 ,  40 698 ,
Республика Северная Осетия - Алания,СКФО,2021,Региональный уровень,51,  2 ,  75 ,  18 ,  156 ,  -   ,,,
Республика Северная Осетия - Алания,СКФО,2021,Муниципальный уровень,52,  121 ,  148 ,  -   ,  178 ,  -   ,,,
Республика Северная Осетия - Алания,СКФО,2021,Ученическое самоуправление,53,  45 ,,,,,  168 ,  879 ,
Республика Северная Осетия - Алания,СКФО,2021,Студенческое самоуправление,54,  6 ,,,,,  215 ,  1 456 ,  -   
Карачаево-Черкесская Республика,СКФО,2021,Региональный уровень,51,  1 ,  27 ,  -   ,  -   ,  -   ,,,
Карачаево-Черкесская Республика,СКФО,2021,Муниципальный уровень,52,  12 ,,,,,,,
Карачаево-Черкесская Республика,СКФО,2021,Ученическое самоуправление,53,,,,,,,,
Карачаево-Черкесская Республика,СКФО,2021,Студенческое самоуправление,54,,,,,,,,
